OrderID,CustomerID,ProductID,OrderDate,OrderTime,Quantity,ProductPrice,TotalAmount,OrderStatus,PaymentMethod,ShippingMethod,ShippingDate,ProductCategory,CustomerRating,CancellationReason
ORD615771,CUS7896,PID8281,2025-03-29,14:02:57,4,435.53,1742.12,Shipped,Credit Card,Next-Day,2025-03-30,Home & Kitchen,,
ORD908263,CUS1822,PID8573,2024-01-07,03:46:10,4,298.31,1193.24,Shipped,Debit Card,Standard,2024-01-10,Home & Kitchen,,
ORD186999,CUS1120,PID3433,2025-03-26,07:00:30,1,422.99,422.99,Shipped,Bank Transfer,Express,2025-03-28,Electronics,,
ORD629329,CUS9207,PID4772,2025-08-16,02:09:21,3,363.03,1089.09,Shipped,Bank Transfer,Next-Day,2025-08-19,Electronics,,
ORD970927,CUS3986,PID7173,2023-11-05,14:41:57,1,207.18,207.18,Shipped,Credit Card,Standard,2023-11-07,Toys,,
ORD350213,CUS8267,PID9071,2023-10-12,07:30:08,4,103.1,412.4,Returned,PayPal,Next-Day,,Sports,,
ORD224004,CUS1452,PID6131,2025-07-19,18:23:57,4,459.11,1836.44,Shipped,Bank Transfer,Express,2025-07-21,Toys,,
ORD545550,CUS5507,PID6384,2024-09-08,15:05:50,4,270.72,1082.88,Processing,Bank Transfer,Standard,,Toys,,
ORD891275,CUS8449,PID9141,2024-09-08,02:36:05,2,153.58,307.16,Returned,PayPal,Next-Day,,Sports,,
ORD679092,CUS7105,PID1421,2024-11-05,03:24:51,2,80.35,160.7,Cancelled,,Express,,Electronics,,Fraud detected
ORD548464,CUS1093,PID3086,2023-09-03,03:35:25,4,97.04,388.16,Delivered,Credit Card,Standard,2023-09-06,Home & Kitchen,2.6,
ORD756233,CUS1555,PID8187,2025-01-09,00:03:38,4,177.8,711.2,Delivered,Debit Card,Express,2025-01-12,Electronics,1.6,
ORD774533,CUS2845,PID1065,2024-12-12,19:27:14,5,403.35,2016.75,Delivered,credit card,Next-Day,2024-12-14,Home & Kitchen,4.9,
ORD163842,CUS6036,PID8917,2024-07-05,04:50:19,2,488.15,976.3,Processing,PayPal,Next-Day,,Beauty,,
ORD507868,CUS8243,PID6384,2024-11-05,09:34:03,2,270.72,541.44,Processing,credit card,Express,,Toys,,
ORD913194,CUS4099,PID5446,2024-10-09,00:04:19,1,470.32,470.32,Delivered,Credit Card,Next-Day,2024-10-11,Toys,1.4,
ORD942221,CUS5116,PID6601,2025-07-18,19:37:58,4,284.84,1139.36,Processing,Gift Card,Standard,,Books,,
ORD567977,CUS6793,PID8951,2025-05-10,22:26:10,1,286.43,286.43,Processing,Credit Card,Express,,Electronics,,
ORD405404,CUS8851,PID3074,2025-04-23,21:57:50,5,431.98,2159.9,Processing,Bank Transfer,Next-Day,,Books,,
ORD635654,CUS6150,PID6234,2025-01-26,13:28:03,3,376.89,1130.67,Returned,paypal,Standard,,Sports,,
ORD796805,CUS9077,PID6131,2024-11-02,07:32:40,4,459.11,1836.44,Processing,Gift Card,Express,,Toys,,
ORD509826,CUS8729,PID4920,2024-12-07,19:14:43,1,152.81,152.81,Cancelled,,Express,,Books,,Fraud detected
ORD145746,CUS7193,PID8143,2024-09-13,12:36:30,3,178.12,534.36,Shipped,Debit Card,Next-Day,2024-09-14,Books,,
ORD793655,CUS4812,PID1549,2025-02-25,14:15:27,5,455.49,2277.45,Cancelled,,Express,,Home & Kitchen,,Fraud detected
ORD392523,CUS5582,PID8002,2024-08-24,15:50:26,5,220.67,1103.35,Returned,Bank Transfer,Express,,Sports,,
ORD140723,CUS3991,PID9775,2025-05-30,13:34:35,5,239.64,1198.2,Delivered,Gift Card,Standard,2025-05-31,Home & Kitchen,2.0,
ORD150723,CUS1428,PID6234,2024-04-01,16:52:41,4,376.89,1507.56,Delivered,Debit Card,Standard,2024-04-03,Sports,1.1,
ORD898763,CUS7079,PID2905,2025-02-02,20:12:46,4,219.88,879.52,Processing,Credit Card,Next-Day,,Home & Kitchen,,
ORD794779,CUS8053,PID3659,2024-07-30,13:17:57,5,68.69,343.45,Cancelled,,Next-Day,,Electronics,,Out of stock
ORD876110,CUS3981,PID6131,2024-01-23,23:24:31,3,459.11,1377.33,Processing,Bank Transfer,Express,,Toys,,
ORD294292,CUS9211,PID6728,2025-07-09,03:20:02,5,315.95,1579.75,Returned,Debit Card,Next-Day,,Clothing,,
ORD394242,CUS5044,PID9262,2024-07-24,04:05:38,3,331.36,994.08,Shipped,Gift Card,Next-Day,2024-07-27,Toys,,
ORD910982,CUS4988,PID1800,2024-04-01,13:16:55,5,467.08,2335.4,Delivered,Gift Card,Express,2024-04-04,Toys,2.1,
ORD898163,CUS4877,PID9854,2023-10-21,18:56:03,1,154.68,154.68,Processing,Gift Card,Express,,Electronics,,
ORD457306,CUS2585,PID9262,2024-12-10,00:46:20,2,331.36,662.72,Returned,credit card,Next-Day,,Toys,,
ORD854304,CUS4734,PID8143,2025-06-22,20:22:20,2,178.12,356.24,Shipped,PayPal,Standard,2025-06-23,Books,,
ORD908513,CUS9551,PID8622,2025-03-25,02:11:40,4,405.92,1623.68,Processing,paypal,Standard,,Electronics,,
ORD723183,CUS4449,PID2715,2023-08-23,05:44:57,2,181.3,362.6,Processing,Bank Transfer,Express,,Beauty,,
ORD460014,CUS1930,PID1421,2023-11-14,11:30:00,3,80.35,241.05,Cancelled,,Next-Day,,Electronics,,Payment failed
ORD299151,CUS2832,PID1402,2024-04-11,09:25:15,4,125.25,501.0,Delivered,Debit Card,Standard,2024-04-13,Electronics,2.0,
ORD679226,CUS7003,PID2039,2024-03-20,23:19:24,3,353.37,1060.11,Delivered,PayPal,Express,2024-03-23,Clothing,2.4,
ORD216413,CUS8881,PID7137,2024-06-04,19:18:38,2,141.59,283.18,Cancelled,,Express,,Toys,,Out of stock
ORD559126,CUS5481,PID7173,2023-12-19,09:59:26,3,207.18,621.54,Shipped,Credit Card,Standard,2023-12-21,Toys,,
ORD567444,CUS5224,PID1219,2025-07-17,03:14:28,3,64.2,192.6,Processing,Credit Card,Express,,Electronics,,
ORD622476,CUS7664,PID6424,2024-03-03,23:16:15,5,338.42,1692.1,Processing,PayPal,Express,,Sports,,
ORD530501,CUS9226,PID1549,2023-10-01,07:42:14,2,455.49,910.98,Processing,Bank Transfer,Standard,,Home & Kitchen,,
ORD416824,CUS2015,PID5792,2025-06-19,07:02:10,4,485.88,1943.52,Processing,Gift Card,Next-Day,,Clothing,,
ORD836187,CUS3354,PID6343,2024-09-24,03:03:53,4,274.75,1099.0,Processing,PayPal,Next-Day,,Books,,
ORD850520,CUS6663,PID8002,2024-02-21,06:08:51,4,220.67,882.68,Processing,Credit Card,Next-Day,,Sports,,
ORD932834,CUS6717,PID1487,2025-01-24,20:02:35,1,310.58,310.58,Cancelled,,Express,,Toys,,Out of stock
ORD905439,CUS7111,PID8850,2024-05-07,06:44:53,5,131.2,656.0,Delivered,PayPal,Standard,2024-05-09,Toys,4.7,
ORD998982,CUS5296,PID2679,2025-05-25,13:22:38,3,144.46,433.38,Shipped,Gift Card,Standard,2025-05-27,Sports,,
ORD288471,CUS8892,PID4772,2025-04-19,01:45:18,1,363.03,363.03,Processing,paypal,Express,,Electronics,,
ORD829548,CUS2343,PID5733,2024-02-01,07:12:49,1,272.49,272.49,Processing,paypal,Next-Day,,Home & Kitchen,,
ORD802410,CUS6902,PID2367,2025-01-23,01:47:03,3,332.63,997.89,Returned,PayPal,Express,,Home & Kitchen,,
ORD256056,CUS5105,PID8575,2024-11-21,16:37:37,1,339.8,339.8,Returned,Credit Card,Standard,,Toys,,
ORD600285,CUS7586,PID8281,2024-04-05,18:16:42,5,435.53,2177.65,Shipped,PayPal,Standard,2024-04-08,Home & Kitchen,,
ORD941834,CUS1892,PID1154,2024-03-21,17:59:19,5,403.31,2016.55,Returned,Bank Transfer,Express,,Books,,
ORD386935,CUS9893,PID7802,2024-06-30,05:10:09,1,185.46,185.46,Returned,Credit Card,Express,,Electronics,,
ORD358911,CUS1721,PID5171,2025-01-10,14:16:21,4,298.29,1193.16,Delivered,Debit Card,Next-Day,2025-01-13,Electronics,4.7,
ORD261830,CUS5393,PID2618,2024-10-13,11:35:05,1,59.58,59.58,Returned,credit card,Express,,Sports,,
ORD775698,CUS6342,PID5970,2023-11-19,12:37:25,1,11.83,11.83,Delivered,credit card,Next-Day,2023-11-20,Clothing,3.5,
ORD771843,CUS8763,PID4787,2024-09-13,09:10:51,4,195.38,781.52,Shipped,Credit Card,Next-Day,2024-09-15,Beauty,,
ORD650345,CUS1468,PID8276,2024-07-27,01:12:42,2,97.28,194.56,Delivered,Debit Card,Standard,2024-07-30,Clothing,4.0,
ORD335956,CUS6117,PID6557,2024-07-27,09:24:24,5,198.9,994.5,Cancelled,,Express,,Books,,Customer request
ORD372359,CUS7353,PID3275,2024-05-16,11:41:33,5,409.36,2046.8,Processing,Credit Card,Standard,,Books,,
ORD300325,CUS2400,PID6605,2023-10-03,02:06:30,2,172.6,345.2,Processing,paypal,Express,,Electronics,,
ORD908568,CUS4010,PID9378,2024-05-15,22:37:50,5,357.1,1785.5,Cancelled,,Standard,,Sports,,
ORD639585,CUS8520,PID2852,2024-11-05,04:15:50,1,176.54,176.54,Shipped,Bank Transfer,Standard,2024-11-06,Books,,
ORD664917,CUS6834,PID5868,2023-10-20,03:11:17,5,371.02,1855.1,Returned,Bank Transfer,Next-Day,,Home & Kitchen,,
ORD608279,CUS4061,PID4794,2025-03-28,01:03:45,2,234.07,468.14,Processing,Gift Card,Express,,Toys,,
ORD175433,CUS3625,PID4043,2024-02-27,07:43:58,2,434.66,869.32,Delivered,Credit Card,Express,2024-02-28,Clothing,3.2,
ORD606948,CUS2129,PID8276,2024-04-03,21:22:17,4,97.28,389.12,Shipped,PayPal,Standard,2024-04-05,Clothing,,
ORD565379,CUS5364,PID2872,2025-04-09,16:13:21,4,307.65,1230.6,Delivered,Credit Card,Express,2025-04-12,Sports,1.5,
ORD479984,CUS1853,PID2631,2024-08-31,10:52:56,2,80.65,161.3,Returned,credit card,Next-Day,,Home & Kitchen,,
ORD995642,CUS8293,PID6415,2025-04-11,04:58:26,2,162.47,324.94,Delivered,paypal,Standard,2025-04-14,Electronics,3.8,
ORD758895,CUS1597,PID3691,2024-10-12,02:18:57,1,296.79,296.79,Returned,PayPal,Standard,,Books,,
ORD372313,CUS3094,PID5321,2025-04-05,10:23:24,2,134.97,269.94,Returned,Bank Transfer,Next-Day,,Sports,,
ORD370920,CUS4243,PID5862,2023-08-23,06:43:53,4,96.91,387.64,Returned,Debit Card,Express,,Books,,
ORD816339,CUS9720,PID8461,2025-01-05,16:53:25,5,474.87,2374.35,Processing,Bank Transfer,Next-Day,,Electronics,,
ORD792678,CUS7065,PID9478,2024-06-06,05:28:57,1,92.33,92.33,Cancelled,,Next-Day,,Clothing,,Fraud detected
ORD874978,CUS2812,PID8627,2025-07-03,16:21:13,2,447.87,895.74,Delivered,PayPal,Express,2025-07-06,Beauty,2.8,
ORD273909,CUS7207,PID2905,2024-05-28,14:56:15,1,219.88,219.88,Processing,credit card,Express,,Home & Kitchen,,
ORD704697,CUS9611,PID7802,2025-03-29,21:23:13,2,185.46,370.92,Cancelled,,Express,,Electronics,,Out of stock
ORD681465,CUS4687,PID2039,2023-12-20,03:54:14,2,353.37,706.74,Shipped,paypal,Standard,2023-12-23,Clothing,,
ORD549272,CUS1947,PID3060,2023-09-01,18:15:37,1,465.4,465.4,Returned,credit card,Next-Day,,Sports,,
ORD901976,CUS5183,PID3713,2025-04-06,00:06:01,3,27.74,83.22,Shipped,Credit Card,Standard,2025-04-07,Books,,
ORD119983,CUS7171,PID8571,2023-12-22,05:15:16,1,22.2,22.2,Shipped,Bank Transfer,Standard,2023-12-25,Home & Kitchen,,
ORD262686,CUS5387,PID5171,2025-06-23,10:48:51,1,298.29,298.29,Cancelled,,Standard,,Electronics,,
ORD828983,CUS6060,PID7777,2024-05-02,02:49:24,3,255.81,767.43,Shipped,Debit Card,Express,2024-05-04,Electronics,,
ORD534057,CUS8699,PID5800,2023-09-19,16:33:04,5,84.51,422.55,Shipped,PayPal,Next-Day,2023-09-21,Electronics,,
ORD410890,CUS7510,PID9943,2024-11-28,13:38:25,1,168.88,168.88,Shipped,Credit Card,Express,2024-11-29,Sports,,
ORD818060,CUS4067,PID2784,2024-07-14,22:32:12,4,326.49,1305.96,Processing,Debit Card,Next-Day,,Electronics,,
ORD503201,CUS2748,PID1384,2024-05-19,13:22:28,3,463.22,1389.66,Shipped,Credit Card,Express,2024-05-21,Home & Kitchen,,
ORD355466,CUS2981,PID1484,2025-04-20,22:44:14,2,401.32,802.64,Returned,PayPal,Standard,,Home & Kitchen,,
ORD674932,CUS8898,PID3659,2024-04-18,22:06:55,2,68.69,137.38,Delivered,credit card,Express,2024-04-20,Electronics,1.7,
ORD552602,CUS4627,PID1302,2025-05-02,08:40:54,4,305.22,1220.88,Shipped,credit card,Express,2025-05-04,Electronics,,
ORD794996,CUS3231,PID4772,2025-07-27,15:08:34,2,363.03,726.06,Shipped,paypal,Express,2025-07-28,Electronics,,
ORD798270,CUS1558,PID9204,2025-04-01,03:28:55,2,78.54,157.08,Cancelled,,Express,,Electronics,,Out of stock
ORD942819,CUS8679,PID9854,2024-08-04,05:03:06,2,154.68,309.36,Shipped,Bank Transfer,Express,2024-08-07,Electronics,,
ORD807587,CUS7042,PID8002,2023-10-05,10:14:59,1,220.67,220.67,Shipped,credit card,Next-Day,2023-10-08,Sports,,
ORD773403,CUS1833,PID8577,2025-08-13,22:18:18,5,460.82,2304.1,Processing,Credit Card,Standard,,Electronics,,
ORD215638,CUS5911,PID2039,2023-12-09,05:25:33,5,353.37,1766.85,Processing,Credit Card,Next-Day,,Clothing,,
ORD871856,CUS4437,PID8622,2025-07-29,15:00:46,1,405.92,405.92,Shipped,paypal,Next-Day,2025-08-01,Electronics,,
ORD311186,CUS9351,PID4794,2024-08-30,02:42:09,4,234.07,936.28,Returned,Debit Card,Standard,,Toys,,
ORD214775,CUS6631,PID1496,2023-10-07,04:40:09,3,414.79,1244.37,Cancelled,,Next-Day,,Toys,,Fraud detected
ORD422786,CUS4605,PID7740,2025-01-31,12:04:15,3,317.57,952.71,Returned,PayPal,Express,,Electronics,,
ORD706019,CUS4833,PID2872,2023-10-02,10:46:48,3,307.65,922.95,Processing,Credit Card,Next-Day,,Sports,,
ORD571448,CUS8892,PID2420,2024-03-17,21:11:01,5,310.82,1554.1,Delivered,Debit Card,Standard,2024-03-19,Sports,4.8,
ORD969973,CUS9328,PID7539,2025-07-17,13:49:24,4,449.69,1798.76,Returned,credit card,Express,,Electronics,,
ORD255051,CUS6519,PID6131,2025-04-20,13:37:40,2,459.11,918.22,Processing,Credit Card,Standard,,Toys,,
ORD673544,CUS5870,PID1487,2023-12-10,01:37:15,2,310.58,621.16,Delivered,credit card,Standard,2023-12-13,Toys,2.8,
ORD558141,CUS8544,PID6601,2023-11-03,22:28:45,4,284.84,1139.36,Returned,Credit Card,Express,,Books,,
ORD667073,CUS2670,PID9072,2025-02-25,21:34:38,2,437.99,875.98,Cancelled,,Express,,Beauty,,Out of stock
ORD860175,CUS1568,PID5733,2024-04-15,23:59:24,2,272.49,544.98,Returned,PayPal,Express,,Home & Kitchen,,
ORD756178,CUS1614,PID5800,2025-02-20,05:21:53,3,84.51,253.53,Returned,Debit Card,Standard,,Electronics,,
ORD982693,CUS4051,PID8694,2024-05-31,20:57:24,5,378.17,1890.85,Processing,Credit Card,Next-Day,,Sports,,
ORD180889,CUS2493,PID2367,2023-11-08,23:51:37,5,332.63,1663.15,Returned,paypal,Express,,Home & Kitchen,,
ORD509078,CUS7977,PID3060,2024-06-02,03:21:33,1,465.4,465.4,Delivered,Debit Card,Next-Day,2024-06-05,Sports,4.3,
ORD797447,CUS8940,PID1484,2025-02-06,15:17:10,1,401.32,401.32,Returned,Credit Card,Next-Day,,Home & Kitchen,,
ORD122633,CUS3882,PID6557,2024-03-24,01:14:20,3,198.9,596.7,Returned,Credit Card,Express,,Books,,
ORD140282,CUS3066,PID8087,2024-09-26,02:20:02,3,461.0,1383.0,Returned,credit card,Next-Day,,Clothing,,
ORD788542,CUS1905,PID5225,2024-02-06,19:11:45,2,465.14,930.28,Processing,paypal,Next-Day,,Sports,,
ORD469902,CUS7684,PID7539,2025-02-28,00:40:27,5,449.69,2248.45,Processing,credit card,Express,,Electronics,,
ORD369718,CUS9410,PID2675,2023-11-02,06:57:34,4,60.39,241.56,Returned,Credit Card,Next-Day,,Home & Kitchen,,
ORD551037,CUS4155,PID7381,2023-09-17,01:50:57,2,293.95,587.9,Returned,Gift Card,Standard,,Clothing,,
ORD554328,CUS2998,PID7480,2025-03-31,03:41:03,2,115.77,231.54,Shipped,Debit Card,Express,2025-04-03,Clothing,,
ORD973325,CUS4967,PID7491,2023-10-09,14:36:00,3,202.09,606.27,Processing,credit card,Standard,,Books,,
ORD556994,CUS8019,PID8575,2025-08-09,12:06:54,5,339.8,1699.0,Returned,Credit Card,Express,,Toys,,
